"offset_nm","normalized_response"
-0.2200550000000021,0
-0.19438500000001113,0
-0.16871500000002015,0
-0.1430449999999155,0.014311410531463304
-0.11737499999992451,0.15596818360701553
-0.09170599999993101,0.3932498033109849
-0.06603599999994003,0.6048047093381863
-0.04036699999994653,0.85508234287041
-0.014696999999955551,0.9739000031344638
0.010972000000037951,1
0.036641000000031454,0.8935125844647217
0.06231000000002496,0.6470992356850779
0.08797900000001846,0.41160536424673716
0.11364800000001196,0.1769954615635781
0.13931700000000546,0.045815945084875624
0.16498599999999897,0
0.190653999999995,0
0.2163229999999885,0
